source,game,period,draw_date,draw,trial,open_no,source_url,source_note,non_official,status_code,parse_ok,error
彩宝网/8200,福彩3D,2024037,2024-02-06,460,119,158,https://www.8200.cn/kjh/3d/2024037.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024038,2024-02-07,529,823,,https://www.8200.cn/kjh/p3/2024038.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024038,2024-02-07,52946,36431,,https://m.ydniu.com/kaijiang/pl5/sjh/2024038.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024038,2024-02-07,676,447,,https://www.3d178.cn/kaijiang/2024/2024038.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024038,2024-02-07,676,447,162,https://www.8200.cn/kjh/3d/2024038.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024039,2024-02-18,508,624,,https://www.8200.cn/kjh/p3/2024039.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024039,2024-02-18,50868,17702,,https://m.ydniu.com/kaijiang/pl5/sjh/2024039.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024039,2024-02-18,228,260,,https://www.3d178.cn/kaijiang/2024/2024039.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024039,2024-02-18,228,260,097,https://www.8200.cn/kjh/3d/2024039.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024040,2024-02-19,514,802,,https://www.8200.cn/kjh/p3/2024040.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024040,2024-02-19,51477,09981,,https://m.ydniu.com/kaijiang/pl5/sjh/2024040.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024040,2024-02-19,736,182,,https://www.3d178.cn/kaijiang/2024/2024040.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024040,2024-02-19,736,182,837,https://www.8200.cn/kjh/3d/2024040.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024041,2024-02-20,905,847,,https://www.8200.cn/kjh/p3/2024041.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024041,2024-02-20,90558,98149,,https://m.ydniu.com/kaijiang/pl5/sjh/2024041.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024041,2024-02-20,315,065,,https://www.3d178.cn/kaijiang/2024/2024041.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024041,2024-02-20,315,065,153,https://www.8200.cn/kjh/3d/2024041.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024042,2024-02-21,342,948,,https://www.8200.cn/kjh/p3/2024042.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024042,2024-02-21,34276,80591,,https://m.ydniu.com/kaijiang/pl5/sjh/2024042.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024042,2024-02-21,086,887,,https://www.3d178.cn/kaijiang/2024/2024042.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024042,2024-02-21,086,887,126,https://www.8200.cn/kjh/3d/2024042.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024043,2024-02-22,296,609,,https://www.8200.cn/kjh/p3/2024043.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024043,2024-02-22,29608,94203,,https://m.ydniu.com/kaijiang/pl5/sjh/2024043.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024043,2024-02-22,257,025,,https://www.3d178.cn/kaijiang/2024/2024043.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024043,2024-02-22,257,025,853,https://www.8200.cn/kjh/3d/2024043.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024044,2024-02-23,885,517,,https://www.8200.cn/kjh/p3/2024044.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024044,2024-02-23,88528,63976,,https://m.ydniu.com/kaijiang/pl5/sjh/2024044.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024044,2024-02-23,363,722,,https://www.3d178.cn/kaijiang/2024/2024044.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024044,2024-02-23,363,722,247,https://www.8200.cn/kjh/3d/2024044.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024045,2024-02-24,757,801,,https://www.8200.cn/kjh/p3/2024045.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024045,2024-02-24,75783,46918,,https://m.ydniu.com/kaijiang/pl5/sjh/2024045.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024045,2024-02-24,406,551,,https://www.3d178.cn/kaijiang/2024/2024045.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024045,2024-02-24,406,551,397,https://www.8200.cn/kjh/3d/2024045.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024046,2024-02-25,702,924,,https://www.8200.cn/kjh/p3/2024046.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024046,2024-02-25,70263,66924,,https://m.ydniu.com/kaijiang/pl5/sjh/2024046.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024046,2024-02-25,730,752,,https://www.3d178.cn/kaijiang/2024/2024046.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024046,2024-02-25,730,752,618,https://www.8200.cn/kjh/3d/2024046.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024047,2024-02-26,760,627,,https://www.8200.cn/kjh/p3/2024047.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024047,2024-02-26,76088,32949,,https://m.ydniu.com/kaijiang/pl5/sjh/2024047.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024047,2024-02-26,420,412,,https://www.3d178.cn/kaijiang/2024/2024047.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024047,2024-02-26,420,412,678,https://www.8200.cn/kjh/3d/2024047.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024048,2024-02-27,396,628,,https://www.8200.cn/kjh/p3/2024048.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024048,2024-02-27,39635,47331,,https://m.ydniu.com/kaijiang/pl5/sjh/2024048.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024048,2024-02-27,128,556,,https://www.3d178.cn/kaijiang/2024/2024048.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024048,2024-02-27,128,556,802,https://www.8200.cn/kjh/3d/2024048.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024049,2024-02-28,631,174,,https://www.8200.cn/kjh/p3/2024049.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024049,2024-02-28,63101,67614,,https://m.ydniu.com/kaijiang/pl5/sjh/2024049.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024049,2024-02-28,811,759,,https://www.3d178.cn/kaijiang/2024/2024049.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024049,2024-02-28,811,759,394,https://www.8200.cn/kjh/3d/2024049.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024050,2024-02-29,495,917,,https://www.8200.cn/kjh/p3/2024050.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024050,2024-02-29,49595,60696,,https://m.ydniu.com/kaijiang/pl5/sjh/2024050.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024050,2024-02-29,634,689,,https://www.3d178.cn/kaijiang/2024/2024050.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024050,2024-02-29,634,689,305,https://www.8200.cn/kjh/3d/2024050.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024051,2024-03-01,674,524,,https://www.8200.cn/kjh/p3/2024051.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024051,2024-03-01,67475,06171,,https://m.ydniu.com/kaijiang/pl5/sjh/2024051.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024051,2024-03-01,340,144,,https://www.3d178.cn/kaijiang/2024/2024051.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024051,2024-03-01,340,144,584,https://www.8200.cn/kjh/3d/2024051.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024052,2024-03-02,995,547,,https://www.8200.cn/kjh/p3/2024052.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024052,2024-03-02,99505,73048,,https://m.ydniu.com/kaijiang/pl5/sjh/2024052.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024052,2024-03-02,310,812,,https://www.3d178.cn/kaijiang/2024/2024052.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024052,2024-03-02,310,812,713,https://www.8200.cn/kjh/3d/2024052.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024053,2024-03-03,958,217,,https://www.8200.cn/kjh/p3/2024053.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024053,2024-03-03,95828,42052,,https://m.ydniu.com/kaijiang/pl5/sjh/2024053.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024053,2024-03-03,478,502,,https://www.3d178.cn/kaijiang/2024/2024053.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024053,2024-03-03,478,502,690,https://www.8200.cn/kjh/3d/2024053.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024054,2024-03-04,221,348,,https://www.8200.cn/kjh/p3/2024054.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024054,2024-03-04,22187,56354,,https://m.ydniu.com/kaijiang/pl5/sjh/2024054.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024054,2024-03-04,192,646,,https://www.3d178.cn/kaijiang/2024/2024054.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024054,2024-03-04,192,646,730,https://www.8200.cn/kjh/3d/2024054.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024055,2024-03-05,173,310,,https://www.8200.cn/kjh/p3/2024055.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024055,2024-03-05,17333,16485,,https://m.ydniu.com/kaijiang/pl5/sjh/2024055.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024055,2024-03-05,589,247,,https://www.3d178.cn/kaijiang/2024/2024055.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024055,2024-03-05,589,247,304,https://www.8200.cn/kjh/3d/2024055.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024056,2024-03-06,788,267,,https://www.8200.cn/kjh/p3/2024056.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024056,2024-03-06,78830,62417,,https://m.ydniu.com/kaijiang/pl5/sjh/2024056.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024056,2024-03-06,542,707,,https://www.3d178.cn/kaijiang/2024/2024056.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024056,2024-03-06,542,707,549,https://www.8200.cn/kjh/3d/2024056.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024057,2024-03-07,765,612,,https://www.8200.cn/kjh/p3/2024057.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024057,2024-03-07,76585,34695,,https://m.ydniu.com/kaijiang/pl5/sjh/2024057.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024057,2024-03-07,805,429,,https://www.3d178.cn/kaijiang/2024/2024057.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024057,2024-03-07,805,429,396,https://www.8200.cn/kjh/3d/2024057.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024058,2024-03-08,065,183,,https://www.8200.cn/kjh/p3/2024058.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024058,2024-03-08,06548,58157,,https://m.ydniu.com/kaijiang/pl5/sjh/2024058.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024058,2024-03-08,469,664,,https://www.3d178.cn/kaijiang/2024/2024058.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024058,2024-03-08,469,664,571,https://www.8200.cn/kjh/3d/2024058.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024059,2024-03-09,629,984,,https://www.8200.cn/kjh/p3/2024059.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024059,2024-03-09,62979,23715,,https://m.ydniu.com/kaijiang/pl5/sjh/2024059.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024059,2024-03-09,758,320,,https://www.3d178.cn/kaijiang/2024/2024059.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024059,2024-03-09,758,320,492,https://www.8200.cn/kjh/3d/2024059.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024060,2024-03-10,357,307,,https://www.8200.cn/kjh/p3/2024060.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024060,2024-03-10,35726,60204,,https://m.ydniu.com/kaijiang/pl5/sjh/2024060.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024060,2024-03-10,897,685,,https://www.3d178.cn/kaijiang/2024/2024060.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024060,2024-03-10,897,685,916,https://www.8200.cn/kjh/3d/2024060.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024061,2024-03-11,250,824,,https://www.8200.cn/kjh/p3/2024061.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024061,2024-03-11,25070,06398,,https://m.ydniu.com/kaijiang/pl5/sjh/2024061.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024061,2024-03-11,406,146,,https://www.3d178.cn/kaijiang/2024/2024061.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024061,2024-03-11,406,146,816,https://www.8200.cn/kjh/3d/2024061.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024062,2024-03-12,784,713,,https://www.8200.cn/kjh/p3/2024062.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024062,2024-03-12,78455,96207,,https://m.ydniu.com/kaijiang/pl5/sjh/2024062.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024062,2024-03-12,377,046,,https://www.3d178.cn/kaijiang/2024/2024062.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024062,2024-03-12,377,046,216,https://www.8200.cn/kjh/3d/2024062.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024063,2024-03-13,651,640,,https://www.8200.cn/kjh/p3/2024063.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024063,2024-03-13,65190,76113,,https://m.ydniu.com/kaijiang/pl5/sjh/2024063.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024063,2024-03-13,349,843,,https://www.3d178.cn/kaijiang/2024/2024063.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024063,2024-03-13,349,843,438,https://www.8200.cn/kjh/3d/2024063.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024064,2024-03-14,132,473,,https://www.8200.cn/kjh/p3/2024064.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024064,2024-03-14,13228,94212,,https://m.ydniu.com/kaijiang/pl5/sjh/2024064.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024064,2024-03-14,009,025,,https://www.3d178.cn/kaijiang/2024/2024064.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024064,2024-03-14,009,025,051,https://www.8200.cn/kjh/3d/2024064.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024065,2024-03-15,903,267,,https://www.8200.cn/kjh/p3/2024065.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024065,2024-03-15,90376,17264,,https://m.ydniu.com/kaijiang/pl5/sjh/2024065.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024065,2024-03-15,469,254,,https://www.3d178.cn/kaijiang/2024/2024065.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024065,2024-03-15,469,254,092,https://www.8200.cn/kjh/3d/2024065.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024066,2024-03-16,803,568,,https://www.8200.cn/kjh/p3/2024066.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024066,2024-03-16,80383,94466,,https://m.ydniu.com/kaijiang/pl5/sjh/2024066.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024066,2024-03-16,198,028,,https://www.3d178.cn/kaijiang/2024/2024066.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024066,2024-03-16,198,028,735,https://www.8200.cn/kjh/3d/2024066.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024067,2024-03-17,549,682,,https://www.8200.cn/kjh/p3/2024067.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024067,2024-03-17,54969,36524,,https://m.ydniu.com/kaijiang/pl5/sjh/2024067.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024067,2024-03-17,709,448,,https://www.3d178.cn/kaijiang/2024/2024067.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024067,2024-03-17,709,448,894,https://www.8200.cn/kjh/3d/2024067.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024068,2024-03-18,239,580,,https://www.8200.cn/kjh/p3/2024068.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024068,2024-03-18,23981,90019,,https://m.ydniu.com/kaijiang/pl5/sjh/2024068.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024068,2024-03-18,642,983,,https://www.3d178.cn/kaijiang/2024/2024068.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024068,2024-03-18,642,983,628,https://www.8200.cn/kjh/3d/2024068.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024069,2024-03-19,411,712,,https://www.8200.cn/kjh/p3/2024069.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024069,2024-03-19,41109,60558,,https://m.ydniu.com/kaijiang/pl5/sjh/2024069.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024069,2024-03-19,451,688,,https://www.3d178.cn/kaijiang/2024/2024069.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024069,2024-03-19,451,688,451,https://www.8200.cn/kjh/3d/2024069.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024070,2024-03-20,891,812,,https://www.8200.cn/kjh/p3/2024070.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024070,2024-03-20,89103,79946,,https://m.ydniu.com/kaijiang/pl5/sjh/2024070.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024070,2024-03-20,671,882,,https://www.3d178.cn/kaijiang/2024/2024070.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024070,2024-03-20,671,882,386,https://www.8200.cn/kjh/3d/2024070.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024071,2024-03-21,258,826,,https://www.8200.cn/kjh/p3/2024071.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024071,2024-03-21,25820,85845,,https://m.ydniu.com/kaijiang/pl5/sjh/2024071.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024071,2024-03-21,213,941,,https://www.3d178.cn/kaijiang/2024/2024071.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024071,2024-03-21,213,941,368,https://www.8200.cn/kjh/3d/2024071.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024072,2024-03-22,341,947,,https://www.8200.cn/kjh/p3/2024072.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024072,2024-03-22,34153,75915,,https://m.ydniu.com/kaijiang/pl5/sjh/2024072.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2024072,2024-03-22,977,841,,https://www.3d178.cn/kaijiang/2024/2024072.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2024072,2024-03-22,977,841,134,https://www.8200.cn/kjh/3d/2024072.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2024073,2024-03-23,590,951,,https://www.8200.cn/kjh/p3/2024073.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2024073,2024-03-23,59043,90142,,https://m.ydniu.com/kaijiang/pl5/sjh/2024073.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
